"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2022/06/24","8,120.0","8,200.0","8,070.0","8,140.0","-30.0","345,200","2,808,609","2,000","3,100","1.55","-","-","8,116.00","8,244.40","8,087.33","8,284.50","8,888.20","410,300","591,576","634,749"
"2022/06/23","8,170.0","8,260.0","8,150.0","8,170.0","-40.0","380,900","3,120,003","1,500","3,200","2.13","-","-","8,110.00","8,247.20","8,085.73","8,290.50","8,894.65","752,140","592,440","638,138"
"2022/06/22","8,180.0","8,290.0","8,140.0","8,210.0","+70.0","453,800","3,735,674","1,500","3,700","2.47","-","-","8,128.00","8,244.80","8,087.87","8,298.30","8,900.10","788,440","596,308","638,268"
"2022/06/21","8,070.0","8,210.0","8,040.0","8,140.0","+220.0","434,800","3,533,924","1,200","3,600","3.00","-","-","8,130.00","8,248.80","8,088.00","8,306.50","8,905.20","876,500","608,304","638,684"
"2022/06/20","8,190.0","8,190.0","7,870.0","7,920.0","-190.0","436,800","3,480,068","1,200","3,200","2.67","-","-","8,118.00","8,247.20","8,095.60","8,315.00","8,910.35","914,480","606,108","637,193"
"2022/06/17","7,960.0","8,230.0","7,940.0","8,110.0","-150.0","2,054,400","16,662,006","3,200","2,800","0.88","-","-","8,146.00","8,256.40","8,106.53","8,329.70","8,915.40","958,720","606,340","638,626"
"2022/06/16","8,250.0","8,340.0","8,200.0","8,260.0","+40.0","562,400","4,642,373","1,400","2,900","2.07","-","-","8,212.00","8,260.40","8,116.93","8,342.30","8,919.50","673,480","544,096","616,846"
"2022/06/15","8,380.0","8,380.0","8,200.0","8,220.0","+140.0","894,100","7,381,316","1,400","3,900","2.79","-","-","8,264.00","8,251.60","8,122.53","8,356.60","8,921.45","639,080","548,092","614,381"
"2022/06/14","7,980.0","8,130.0","7,950.0","8,080.0","+20.0","624,700","5,039,844","3,700","5,500","1.49","-","-","8,318.00","8,254.00","8,130.00","8,371.70","8,926.00","574,660","576,360","606,738"
"2022/06/13","8,140.0","8,220.0","8,060.0","8,060.0","-380.0","658,000","5,335,172","4,800","5,300","1.10","-","-","8,376.00","8,261.20","8,143.47","8,385.70","8,933.05","537,420","591,036","601,604"
"2022/06/10","8,470.0","8,530.0","8,400.0","8,440.0","-80.0","628,200","5,307,164","3,700","3,900","1.05","-","-","8,402.00","8,260.40","8,158.13","8,400.20","8,939.25","501,800","586,152","595,653"
"2022/06/09","8,520.0","8,610.0","8,470.0","8,520.0","+30.0","390,400","3,336,734","3,900","2,300","0.59","-","-","8,376.00","8,250.00","8,167.87","8,411.00","8,944.00","495,940","599,464","591,209"
"2022/06/08","8,390.0","8,490.0","8,340.0","8,490.0","+120.0","572,000","4,830,693","3,300","7,000","2.12","-","-","8,372.00","8,226.40","8,178.00","8,419.80","8,949.60","504,940","624,420","588,865"
"2022/06/07","8,340.0","8,450.0","8,320.0","8,370.0","+180.0","438,500","3,678,938","4,900","6,900","1.41","-","-","8,392.00","8,198.40","8,186.27","8,432.00","8,955.40","508,380","644,856","586,452"
"2022/06/06","8,160.0","8,230.0","8,130.0","8,190.0","-120.0","479,900","3,929,567","1,300","6,800","5.23","-","-","8,378.00","8,163.20","8,197.07","8,445.50","8,961.75","585,360","673,680","586,376"
"2022/06/03","8,480.0","8,500.0","8,250.0","8,310.0","-190.0","598,900","4,991,193","1,600","6,800","4.25","-","-","8,400.00","8,143.60","8,212.53","8,462.50","8,968.35","669,900","677,248","587,348"
"2022/06/02","8,530.0","8,620.0","8,460.0","8,500.0","-90.0","435,400","3,710,193","2,900","7,000","2.41","-","-","8,362.00","8,119.20","8,224.00","8,474.30","8,974.05","628,020","671,972","584,549"
"2022/06/01","8,350.0","8,610.0","8,350.0","8,590.0","+290.0","589,200","5,038,507","7,700","6,900","0.90","-","-","8,272.00","8,092.40","8,231.33","8,481.20","8,978.85","611,640","680,132","582,997"
"2022/05/31","8,300.0","8,390.0","8,260.0","8,300.0","0.0","823,400","6,847,979","100","2,800","28.00","-","-","8,168.00","8,069.20","8,235.47","8,487.30","8,983.55","590,600","680,200","578,369"
"2022/05/30","8,220.0","8,320.0","8,210.0","8,300.0","+180.0","902,600","7,480,435","2,100","2,900","1.38","-","-","8,156.00","8,053.20","8,244.53","8,496.40","8,990.20","511,860","669,720","572,305"
"2022/05/27","8,220.0","8,230.0","8,090.0","8,120.0","+70.0","389,500","3,174,299","100","2,800","28.00","-","-","8,158.00","8,031.60","8,252.67","8,505.00","8,997.10","417,160","650,168","566,932"
"2022/05/26","8,060.0","8,150.0","8,040.0","8,050.0","-20.0","353,500","2,854,026","100","2,900","29.00","-","-","8,176.00","8,010.80","8,266.00","8,516.40","9,002.20","412,620","646,600","571,884"
