,date,start_value,high_value,low_value,end_value,cmp_ytd,volume,baibai_daikin,kashikabu_zandaka,yuushi_zandaka,taishaku_bairitu,gyaku_nippo,tokukara,5DMA,25DMA,75DMA,100DMA,200DMA,5DVMA,25DVMA,75DVMA
0,2022/06/24,8120.0,8200.0,8070.0,8140.0,-30.0,345200,2808609,2000,3100,1.55,-,-,8116.0,8244.4,8087.33,8284.5,8888.2,410300,591576,634749
1,2022/06/23,8170.0,8260.0,8150.0,8170.0,-40.0,380900,3120003,1500,3200,2.13,-,-,8110.0,8247.2,8085.73,8290.5,8894.65,752140,592440,638138
2,2022/06/22,8180.0,8290.0,8140.0,8210.0,70.0,453800,3735674,1500,3700,2.47,-,-,8128.0,8244.8,8087.87,8298.3,8900.1,788440,596308,638268
3,2022/06/21,8070.0,8210.0,8040.0,8140.0,220.0,434800,3533924,1200,3600,3.0,-,-,8130.0,8248.8,8088.0,8306.5,8905.2,876500,608304,638684
4,2022/06/20,8190.0,8190.0,7870.0,7920.0,-190.0,436800,3480068,1200,3200,2.67,-,-,8118.0,8247.2,8095.6,8315.0,8910.35,914480,606108,637193
5,2022/06/17,7960.0,8230.0,7940.0,8110.0,-150.0,2054400,16662006,3200,2800,0.88,-,-,8146.0,8256.4,8106.53,8329.7,8915.4,958720,606340,638626
6,2022/06/16,8250.0,8340.0,8200.0,8260.0,40.0,562400,4642373,1400,2900,2.07,-,-,8212.0,8260.4,8116.93,8342.3,8919.5,673480,544096,616846
7,2022/06/15,8380.0,8380.0,8200.0,8220.0,140.0,894100,7381316,1400,3900,2.79,-,-,8264.0,8251.6,8122.53,8356.6,8921.45,639080,548092,614381
8,2022/06/14,7980.0,8130.0,7950.0,8080.0,20.0,624700,5039844,3700,5500,1.49,-,-,8318.0,8254.0,8130.0,8371.7,8926.0,574660,576360,606738
9,2022/06/13,8140.0,8220.0,8060.0,8060.0,-380.0,658000,5335172,4800,5300,1.1,-,-,8376.0,8261.2,8143.47,8385.7,8933.05,537420,591036,601604
10,2022/06/10,8470.0,8530.0,8400.0,8440.0,-80.0,628200,5307164,3700,3900,1.05,-,-,8402.0,8260.4,8158.13,8400.2,8939.25,501800,586152,595653
11,2022/06/09,8520.0,8610.0,8470.0,8520.0,30.0,390400,3336734,3900,2300,0.59,-,-,8376.0,8250.0,8167.87,8411.0,8944.0,495940,599464,591209
12,2022/06/08,8390.0,8490.0,8340.0,8490.0,120.0,572000,4830693,3300,7000,2.12,-,-,8372.0,8226.4,8178.0,8419.8,8949.6,504940,624420,588865
13,2022/06/07,8340.0,8450.0,8320.0,8370.0,180.0,438500,3678938,4900,6900,1.41,-,-,8392.0,8198.4,8186.27,8432.0,8955.4,508380,644856,586452
14,2022/06/06,8160.0,8230.0,8130.0,8190.0,-120.0,479900,3929567,1300,6800,5.23,-,-,8378.0,8163.2,8197.07,8445.5,8961.75,585360,673680,586376
15,2022/06/03,8480.0,8500.0,8250.0,8310.0,-190.0,598900,4991193,1600,6800,4.25,-,-,8400.0,8143.6,8212.53,8462.5,8968.35,669900,677248,587348
16,2022/06/02,8530.0,8620.0,8460.0,8500.0,-90.0,435400,3710193,2900,7000,2.41,-,-,8362.0,8119.2,8224.0,8474.3,8974.05,628020,671972,584549
17,2022/06/01,8350.0,8610.0,8350.0,8590.0,290.0,589200,5038507,7700,6900,0.9,-,-,8272.0,8092.4,8231.33,8481.2,8978.85,611640,680132,582997
18,2022/05/31,8300.0,8390.0,8260.0,8300.0,0.0,823400,6847979,100,2800,28.0,-,-,8168.0,8069.2,8235.47,8487.3,8983.55,590600,680200,578369
19,2022/05/30,8220.0,8320.0,8210.0,8300.0,180.0,902600,7480435,2100,2900,1.38,-,-,8156.0,8053.2,8244.53,8496.4,8990.2,511860,669720,572305
20,2022/05/27,8220.0,8230.0,8090.0,8120.0,70.0,389500,3174299,100,2800,28.0,-,-,8158.0,8031.6,8252.67,8505.0,8997.1,417160,650168,566932
21,2022/05/26,8060.0,8150.0,8040.0,8050.0,-20.0,353500,2854026,100,2900,29.0,-,-,8176.0,8010.8,8266.0,8516.4,9002.2,412620,646600,571884
22,2022/05/25,8130.0,8180.0,8050.0,8070.0,-170.0,484000,3918286,100,2900,29.0,-,-,8188.0,7995.6,8275.87,8527.7,9008.0,437440,644696,572056
23,2022/05/24,8360.0,8370.0,8240.0,8240.0,-70.0,429700,3566169,0,3900,0.0,-,-,8236.0,7982.4,8286.93,8537.5,9013.55,491380,644956,570402
24,2022/05/23,8320.0,8370.0,8210.0,8310.0,100.0,429100,3560436,0,3900,0.0,-,-,8208.0,7957.6,8295.33,8545.8,9019.0,481420,650692,571142
25,2022/05/20,8160.0,8240.0,8110.0,8210.0,100.0,366800,3003817,0,3100,0.0,-,-,8176.0,7924.4,8297.87,8553.0,9023.95,484120,656448,571002
