,date,start_value,high_value,low_value,end_value,cmp_ytd,volume,baibai_daikin,kashikabu_zandaka,yuushi_zandaka,taishaku_bairitu,gyaku_nippo,tokukara,5DMA,25DMA,75DMA,100DMA,200DMA,5DVMA,25DVMA,75DVMA
0,2022/6/24,8120,8200,8070,8140,-30,345200,2808609,2000,3100,1.55,-,-,8116,8244.4,8087.33,8284.5,8888.2,410300,591576,634749
1,2022/6/23,8170,8260,8150,8170,-40,380900,3120003,1500,3200,2.13,-,-,8110,8247.2,8085.73,8290.5,8894.65,752140,592440,638138
2,2022/6/22,8180,8290,8140,8210,70,453800,3735674,1500,3700,2.47,-,-,8128,8244.8,8087.87,8298.3,8900.1,788440,596308,638268
3,2022/6/21,8070,8210,8040,8140,220,434800,3533924,1200,3600,3,-,-,8130,8248.8,8088,8306.5,8905.2,876500,608304,638684
4,2022/6/20,8190,8190,7870,7920,-190,436800,3480068,1200,3200,2.67,-,-,8118,8247.2,8095.6,8315,8910.35,914480,606108,637193
5,2022/6/17,7960,8230,7940,8110,-150,2054400,16662006,3200,2800,0.88,-,-,8146,8256.4,8106.53,8329.7,8915.4,958720,606340,638626
6,2022/6/16,8250,8340,8200,8260,40,562400,4642373,1400,2900,2.07,-,-,8212,8260.4,8116.93,8342.3,8919.5,673480,544096,616846
7,2022/6/15,8380,8380,8200,8220,140,894100,7381316,1400,3900,2.79,-,-,8264,8251.6,8122.53,8356.6,8921.45,639080,548092,614381
8,2022/6/14,7980,8130,7950,8080,20,624700,5039844,3700,5500,1.49,-,-,8318,8254,8130,8371.7,8926,574660,576360,606738
9,2022/6/13,8140,8220,8060,8060,-380,658000,5335172,4800,5300,1.1,-,-,8376,8261.2,8143.47,8385.7,8933.05,537420,591036,601604
10,2022/6/10,8470,8530,8400,8440,-80,628200,5307164,3700,3900,1.05,-,-,8402,8260.4,8158.13,8400.2,8939.25,501800,586152,595653
11,2022/6/9,8520,8610,8470,8520,30,390400,3336734,3900,2300,0.59,-,-,8376,8250,8167.87,8411,8944,495940,599464,591209
12,2022/6/8,8390,8490,8340,8490,120,572000,4830693,3300,7000,2.12,-,-,8372,8226.4,8178,8419.8,8949.6,504940,624420,588865
13,2022/6/7,8340,8450,8320,8370,180,438500,3678938,4900,6900,1.41,-,-,8392,8198.4,8186.27,8432,8955.4,508380,644856,586452
14,2022/6/6,8160,8230,8130,8190,-120,479900,3929567,1300,6800,5.23,-,-,8378,8163.2,8197.07,8445.5,8961.75,585360,673680,586376
15,2022/6/3,8480,8500,8250,8310,-190,598900,4991193,1600,6800,4.25,-,-,8400,8143.6,8212.53,8462.5,8968.35,669900,677248,587348
