,date,5DMA,25DMA,75DMA,100DMA,200DMA,5DVMA,25DVMA,75DVMA
0,2022/6/24,8116,8244.4,8087.33,8284.5,8888.2,410300,591576,634749
1,2022/6/23,8110,8247.2,8085.73,8290.5,8894.65,752140,592440,638138
2,2022/6/22,8128,8244.8,8087.87,8298.3,8900.1,788440,596308,638268
3,2022/6/21,8130,8248.8,8088,8306.5,8905.2,876500,608304,638684
4,2022/6/20,8118,8247.2,8095.6,8315,8910.35,914480,606108,637193
5,2022/6/17,8146,8256.4,8106.53,8329.7,8915.4,958720,606340,638626
6,2022/6/16,8212,8260.4,8116.93,8342.3,8919.5,673480,544096,616846
7,2022/6/15,8264,8251.6,8122.53,8356.6,8921.45,639080,548092,614381
8,2022/6/14,8318,8254,8130,8371.7,8926,574660,576360,606738
9,2022/6/13,8376,8261.2,8143.47,8385.7,8933.05,537420,591036,601604
10,2022/6/10,8402,8260.4,8158.13,8400.2,8939.25,501800,586152,595653
11,2022/6/9,8376,8250,8167.87,8411,8944,495940,599464,591209
12,2022/6/8,8372,8226.4,8178,8419.8,8949.6,504940,624420,588865
13,2022/6/7,8392,8198.4,8186.27,8432,8955.4,508380,644856,586452
14,2022/6/6,8378,8163.2,8197.07,8445.5,8961.75,585360,673680,586376
15,2022/6/3,8400,8143.6,8212.53,8462.5,8968.35,669900,677248,587348
16,2022/6/2,8362,8119.2,8224,8474.3,8974.05,628020,671972,584549
17,2022/6/1,8272,8092.4,8231.33,8481.2,8978.85,611640,680132,582997
18,2022/5/31,8168,8069.2,8235.47,8487.3,8983.55,590600,680200,578369
19,2022/5/30,8156,8053.2,8244.53,8496.4,8990.2,511860,669720,572305
20,2022/5/27,8158,8031.6,8252.67,8505,8997.1,417160,650168,566932
21,2022/5/26,8176,8010.8,8266,8516.4,9002.2,412620,646600,571884
22,2022/5/25,8188,7995.6,8275.87,8527.7,9008,437440,644696,572056
23,2022/5/24,8236,7982.4,8286.93,8537.5,9013.55,491380,644956,570402
24,2022/5/23,8208,7957.6,8295.33,8545.8,9019,481420,650692,571142
25,2022/5/20,8176,7924.4,8297.87,8553,9023.95,484120,656448,571002
26,2022/5/19,8176,7903.2,8304.93,8564,9028.8,510420,657508,570808
27,2022/5/18,8162,7886.8,8316.13,8577.3,9032.9,547360,670104,568710
28,2022/5/17,8156,7862.8,8325.73,8588.1,9036.1,716780,679780,561601
29,2022/5/16,8188,7851.6,8337.6,8599.2,9041.2,839120,705532,562362
30,2022/5/13,8166,7851.2,8354.13,8609.8,9046.25,857780,718604,561989
31,2022/5/12,8160,7860.8,8369.6,8619.8,9051.75,950320,712168,562508
32,2022/5/11,8138,7876.8,8391.6,8631.2,9058.9,1020720,707856,557948
33,2022/5/10,8040,7884.4,8410.93,8642.4,9064.6,917140,665112,539937
34,2022/5/9,7886,7895.6,8427.2,8653.6,9069.5,950640,644516,531570
35,2022/5/6,7818,7920.4,8446.8,8665,9075.45,957280,648332,528072
36,2022/5/2,7722,7935.6,8464.67,8677.3,9080.95,858480,632440,519408
37,2022/4/28,7702,7958.8,8484.27,8689.5,9088.7,783500,623780,510749
38,2022/4/27,7746,7995.2,8509.87,8704.9,9097.25,685100,601140,500698
39,2022/4/26,7828,8042.4,8539.6,8723.2,9107.85,565560,581448,491202
40,2022/4/25,7840,8072.4,8568.8,8740.2,9117.3,534500,587180,490589
41,2022/4/22,7820,8093.2,8592.67,8760,9126.85,501160,611764,488685
42,2022/4/21,7788,8115.2,8610.8,8781.1,9136.3,434460,616740,483084
43,2022/4/20,7734,8113.6,8626.67,8800.4,9145.6,414380,613256,478596
