,date,start_value,high_value,low_value,end_value,cmp_ytd,volume,baibai_daikin,kashikabu_zandaka,yuushi_zandaka,taishaku_bairitu,gyaku_nippo,tokukara
0,2022/6/24,8120,8200,8070,8140,-30,345200,2808609,2000,3100,1.55,-,-
1,2022/6/23,8170,8260,8150,8170,-40,380900,3120003,1500,3200,2.13,-,-
2,2022/6/22,8180,8290,8140,8210,70,453800,3735674,1500,3700,2.47,-,-
3,2022/6/21,8070,8210,8040,8140,220,434800,3533924,1200,3600,3,-,-
4,2022/6/20,8190,8190,7870,7920,-190,436800,3480068,1200,3200,2.67,-,-
5,2022/6/17,7960,8230,7940,8110,-150,2054400,16662006,3200,2800,0.88,-,-
6,2022/6/16,8250,8340,8200,8260,40,562400,4642373,1400,2900,2.07,-,-
7,2022/6/15,8380,8380,8200,8220,140,894100,7381316,1400,3900,2.79,-,-
8,2022/6/14,7980,8130,7950,8080,20,624700,5039844,3700,5500,1.49,-,-
9,2022/6/13,8140,8220,8060,8060,-380,658000,5335172,4800,5300,1.1,-,-
10,2022/6/10,8470,8530,8400,8440,-80,628200,5307164,3700,3900,1.05,-,-
11,2022/6/9,8520,8610,8470,8520,30,390400,3336734,3900,2300,0.59,-,-
12,2022/6/8,8390,8490,8340,8490,120,572000,4830693,3300,7000,2.12,-,-
13,2022/6/7,8340,8450,8320,8370,180,438500,3678938,4900,6900,1.41,-,-
14,2022/6/6,8160,8230,8130,8190,-120,479900,3929567,1300,6800,5.23,-,-
15,2022/6/3,8480,8500,8250,8310,-190,598900,4991193,1600,6800,4.25,-,-
16,2022/6/2,8530,8620,8460,8500,-90,435400,3710193,2900,7000,2.41,-,-
17,2022/6/1,8350,8610,8350,8590,290,589200,5038507,7700,6900,0.9,-,-
18,2022/5/31,8300,8390,8260,8300,0,823400,6847979,100,2800,28,-,-
19,2022/5/30,8220,8320,8210,8300,180,902600,7480435,2100,2900,1.38,-,-
20,2022/5/27,8220,8230,8090,8120,70,389500,3174299,100,2800,28,-,-
21,2022/5/26,8060,8150,8040,8050,-20,353500,2854026,100,2900,29,-,-
22,2022/5/25,8130,8180,8050,8070,-170,484000,3918286,100,2900,29,-,-
23,2022/5/24,8360,8370,8240,8240,-70,429700,3566169,0,3900,0,-,-
24,2022/5/23,8320,8370,8210,8310,100,429100,3560436,0,3900,0,-,-
25,2022/5/20,8160,8240,8110,8210,100,366800,3003817,0,3100,0,-,-
26,2022/5/19,8080,8140,7970,8110,-200,477600,3851344,0,3100,0,-,-
27,2022/5/18,8440,8440,8230,8310,210,753700,6276010,1100,3400,3.09,-,-
28,2022/5/17,8150,8190,8070,8100,-50,379900,3081042,200,3700,18.5,-,-
29,2022/5/16,8390,8400,8150,8150,-60,442600,3640975,14300,4500,0.31,0,-
30,2022/5/13,8090,8240,8080,8210,170,498300,4075247,100,4500,45,-,-
31,2022/5/12,8130,8190,8020,8040,-240,662300,5356174,200,4600,23,-,-
32,2022/5/11,8410,8430,8170,8280,20,1600800,13322570,1000,5000,5,-,-
33,2022/5/10,7890,8270,7830,8260,220,991600,8078415,200,6100,30.5,-,-
34,2022/5/9,8010,8130,7980,8040,-140,535900,4307737,0,5900,0,-,-
